,BAU,CT,R&D
83,1.0035963263,1.0171915654,0.9948624455
84,1.003650038,1.015920032,0.9939341084
85,1.0045378475,1.0165382157,0.9947666523
86,1.0064853843,1.0210844995,0.9975568019
87,1.0040758613,1.019182656,0.994949675
88,1.0048004203,1.0203150078,0.9964583477
89,1.004882193,1.0201605631,0.9956806093
90,1.0053999046,1.0210634103,0.9955568494
91,1.005054126,1.0219404813,0.9957827521
92,1.0050813078,1.0223437691,0.9950549575
93,1.0052220294,1.0234647759,0.9945743457
94,1.0047516857,1.0236973458,0.9949861894
95,1.0048178131,1.0229822161,0.995153172
96,1.0058951905,1.0249294517,0.9943128352
97,1.0056762736,1.0257688499,0.9947063108
98,1.0078280885,1.0273258528,0.9958109439
99,1.0064740475,1.0272444681,0.9942541428
100,1.0064675052,1.0266540409,0.9951594533
101,1.0070447442,1.0277559302,0.9949158651
102,1.0072544324,1.0292388852,0.9951531058
103,1.0091547709,1.0282666896,0.9946705041
104,1.0085215293,1.0303375655,0.9962999212
105,1.0085739362,1.0304413766,0.9962969737
106,1.0094365706,1.0315299906,0.9969945244
107,1.0092946407,1.0314813076,0.996085331
108,1.008870694,1.0319061542,0.9964644837
109,1.0117958002,1.0324861666,0.9971097537
110,1.0135058194,1.0337726151,0.9984540255
111,1.0126875109,1.0327062184,0.9961215276
112,1.0142434808,1.0344022828,0.9977406253
113,1.0150891956,1.0350550073,0.9981081674
114,1.0127972892,1.035392916,0.9983667407
115,1.0124896561,1.0351500369,0.9993153006
116,1.0137887035,1.03479173,0.9988477092
117,1.0130065612,1.035093869,1.0012557197
118,1.0139608349,1.0352068478,1.0001874408
119,1.0131618045,1.0351375827,1.0011260336
120,1.0138922647,1.0350449302,1.0011199201
121,1.0140177324,1.0347595205,1.0008031883
122,1.0167989282,1.0384129967,1.0041988455
123,1.0157309437,1.0371575957,1.0016022976
124,1.0161571277,1.0389056903,1.0031350801
125,1.0162197848,1.03602763,1.0017173026
126,1.0171404174,1.0382361374,1.0030766406
127,1.0170315011,1.037526183,1.0020194157
128,1.0183774352,1.039154305,1.0020933824
129,1.0186694527,1.037465067,1.0011331518
130,1.0189026762,1.0387508501,1.0027782271
131,1.0187602301,1.0384616795,1.0021914353
132,1.0199191476,1.0396345382,1.00288167
133,1.0207081732,1.039065746,1.0031547322
134,1.0198407214,1.0416178064,1.0051979232
135,1.0203050772,1.0394307994,1.003938967
136,1.0204717626,1.0402365386,1.0052346387
137,1.0214280651,1.0402739657,1.0047621836
138,1.0210128847,1.0399992484,1.0051101405
139,1.0215023243,1.0402561527,1.0037054462
140,1.0232308017,1.0414712668,1.0034451516
141,1.0221391814,1.04076897,1.0042587596
142,1.0226719822,1.041049322,1.0042598399
143,1.0229300378,1.0405317795,1.0039888172
144,1.0233746331,1.0414266783,1.0053622894
145,1.0216828015,1.0429870398,1.0046541264
146,1.0259853033,1.0438632763,1.0090154909
147,1.0250777076,1.0434052869,1.0067277326
148,1.0264589146,1.044242604,1.0084614946
149,1.0255296776,1.0446344964,1.0080848969
150,1.0259889916,1.0449037186,1.0090893348
151,1.02714261,1.0455891408,1.0071001672
152,1.0263844417,1.04541086,1.0091329797
153,1.0274079452,1.0464025351,1.0087684518
154,1.0269866942,1.0468730227,1.0090906317
155,1.0266315475,1.0473643002,1.0098013409
156,1.0270339801,1.0482597058,1.0100258128
157,1.0269067449,1.0485649983,1.0110992111
158,1.0289561987,1.0506316086,1.0112653636
159,1.0278280822,1.0490387584,1.0100320247
160,1.029130581,1.0502088349,1.0114627392
161,1.0280104247,1.0493792315,1.0112888466
162,1.0277527688,1.050414995,1.0119193231
163,1.0280760926,1.0497779779,1.0110129903
164,1.0292808518,1.0507452004,1.0106689271
165,1.0283829185,1.0515774246,1.0094087251
166,1.0286217323,1.0509645774,1.0101467895
167,1.029761386,1.0522325264,1.010076271
168,1.0293043775,1.0533735457,1.0107495125
169,1.0304998768,1.0531050196,1.0093074979
170,1.0319785843,1.0565037895,1.014394851
171,1.0307254349,1.054070368,1.0115888921
172,1.0302834459,1.0564595165,1.0124267175
173,1.0293815131,1.0558811546,1.0119203807
174,1.0308929597,1.0568477937,1.0128446865
175,1.0300035031,1.055616445,1.0135184841
176,1.0301593664,1.05678977,1.0137509196
177,1.0289531021,1.0557186092,1.0142513635
178,1.028262969,1.054790403,1.0153268477
179,1.0276508396,1.0546114278,1.0156661731
180,1.0290309219,1.0564801003,1.0160283919
181,1.0273300171,1.0542390807,1.0144077779
182,1.030685641,1.0578561056,1.0151427116
183,1.0276067617,1.055776128,1.0142098601
184,1.0284016737,1.0555952057,1.0154991805
185,1.0279893442,1.0558048684,1.0157186542
186,1.0284623354,1.0568349145,1.0164865298
187,1.0266912981,1.0557994786,1.0171961779
188,1.0270991127,1.0573953654,1.0169724984
189,1.0266503923,1.057776126,1.0168528287
190,1.0268470644,1.0575266776,1.017246844
191,1.0273646111,1.0584678483,1.0179271307
192,1.0268396331,1.0581804688,1.0173990818
193,1.0267418455,1.0584843461,1.0172511683
194,1.0293759838,1.0599853437,1.0184042004
195,1.0263615518,1.058748615,1.0169787932
196,1.0269854125,1.0592329473,1.0169579193
197,1.0275292521,1.0597372305,1.0150312608
198,1.0272490836,1.0593154293,1.018014169
199,1.0284005529,1.0604798619,1.0166619931
200,1.0297103948,1.0613724684,1.0177855073
201,1.0290714631,1.0612302946,1.0172860125
202,1.0300274508,1.0604739195,1.0181045805
203,1.0299446119,1.0613614472,1.0172579808
204,1.0309301898,1.0600711909,1.017579812
205,1.0312231864,1.060829968,1.0191653173
206,1.0328315305,1.0628986677,1.0232576638
207,1.0328160012,1.0654952652,1.0206744203
