,BAU,CT,R&D
186,0.0350551305,2.55E-02,0.0316005496
187,0.0357191645,2.64E-02,0.0306606363
188,0.0349271409,2.52E-02,0.0307994689
189,0.0352214249,2.51E-02,0.0302853121
190,0.0360500955,2.60E-02,0.0311782038
191,0.0343318634,2.47E-02,0.0305993538
192,0.0343025029,2.48E-02,0.0301302779
193,0.0388732327,2.67E-02,0.0335657668
194,0.0379460259,2.67E-02,0.0320971237
195,0.0388619021,2.75E-02,0.0314898448
196,0.0380569813,2.76E-02,0.0295811491
197,0.0380768993,2.68E-02,0.0318398854
198,0.0373697423,2.68E-02,0.0301896831
199,0.0359151441,2.60E-02,0.0315885519
200,0.0369140518,2.57E-02,0.0300344842
201,0.0365115702,2.57E-02,0.0316825137
202,0.0356173669,2.73E-02,0.0308541699
203,0.0363161355,2.53E-02,0.0316832565
204,0.0367635494,2.64E-02,0.0301367124
205,0.0408338121,2.90E-02,0.0357743218
206,0.0400505947,3.12E-02,0.0320715676
207,0.0398274229,2.91E-02,0.0328124718
208,0.0383880107,2.80E-02,0.0309546209
209,0.038509166,2.69E-02,0.0315461859
210,0.0378496164,2.76E-02,0.030818348
211,0.0376520524,2.87E-02,0.0317594881
212,0.0373023088,2.87E-02,0.0319798515
213,0.0373486304,2.84E-02,0.0327497427
214,0.0360808174,2.67E-02,0.0327966763
215,0.0366520318,2.69E-02,0.0326139028
216,0.0353554642,2.70E-02,0.0312906131
217,0.0399656457,3.16E-02,0.0345449351
218,0.0388880488,3.07E-02,0.0327559945
219,0.0396849242,3.06E-02,0.0341586364
220,0.0386322759,2.96E-02,0.0343565735
221,0.0393532169,2.92E-02,0.034959115
222,0.0382310083,2.91E-02,0.0337616627
223,0.0387684145,3.00E-02,0.0345283172
224,0.0391757078,3.07E-02,0.0334339143
225,0.0394719789,3.03E-02,0.0343923388
226,0.0384910772,3.01E-02,0.033266782
227,0.0377691893,2.84E-02,0.033499833
228,0.0370415256,2.90E-02,0.0331266937
229,0.0402457766,3.12E-02,0.0373497895
230,0.0398701927,3.23E-02,0.0345757589
231,0.0407434487,3.09E-02,0.0364089092
232,0.0405610564,3.14E-02,0.0347034113
233,0.0414746285,3.13E-02,0.0351134719
234,0.0415009876,3.12E-02,0.0335420224
235,0.0412278765,3.04E-02,0.0345078114
236,0.0399631753,3.06E-02,0.0330998996
237,0.0391747008,3.11E-02,0.0343519914
238,0.0396597952,3.18E-02,0.032289588
239,0.0403184604,3.05E-02,0.0335030276
240,0.0406306397,2.92E-02,0.0320583949
241,0.044626342,3.42E-02,0.0376841506
242,0.0439383294,3.23E-02,0.0336567235
243,0.0434078415,3.22E-02,0.036258887
244,0.0433588339,3.37E-02,0.0342785896
245,0.0433211094,3.25E-02,0.0364864502
246,0.0417209631,3.37E-02,0.0348396134
247,0.0420828321,3.19E-02,0.0355318709
248,0.0420287639,3.20E-02,0.034852416
249,0.041827137,3.10E-02,0.0352682616
250,0.0399068768,3.24E-02,0.0345110526
251,0.0410486027,3.09E-02,0.0347341606
252,0.0403893466,3.28E-02,0.0344736261
253,0.0473282712,3.60E-02,0.0376342333
254,0.0435652188,3.50E-02,0.0361876036
255,0.0444814738,3.45E-02,0.0362651302
256,0.0428640858,3.35E-02,0.0370934442
257,0.0446252981,3.41E-02,0.0357975441
258,0.0437622505,3.44E-02,0.0367788661
259,0.0435198307,3.40E-02,0.0361892358
260,0.0430219222,3.34E-02,0.0362116876
261,0.0440489145,3.38E-02,0.035102106
262,0.043047659,3.45E-02,0.0351143581
263,0.0424497286,3.54E-02,0.0341692075
264,0.0419657822,3.35E-02,0.0359024548
265,0.047407009,3.62E-02,0.0380072341
266,0.0460790007,3.43E-02,0.036673871
267,0.0462327188,3.68E-02,0.0372824638
268,0.0443147732,3.38E-02,0.0370753566
269,0.0449846811,3.54E-02,0.0363688418
270,0.0450455504,3.46E-02,0.0349552781
271,0.0452578503,3.43E-02,0.0348021589
272,0.0448308184,3.47E-02,0.0357980593
273,0.0447678872,3.43E-02,0.0371036568
274,0.0440817476,3.40E-02,0.0356054407
275,0.0452318441,3.30E-02,0.0362426265
276,0.0443334512,3.28E-02,0.0359468334
277,0.0492112914,3.58E-02,0.0406366185
278,0.0449607866,3.38E-02,0.0369543267
279,0.0458363465,3.56E-02,0.0396351455
280,0.045626221,3.42E-02,0.0386401096
281,0.0438865824,3.44E-02,0.0391620112
282,0.0434834151,3.39E-02,0.037916219
283,0.0433869041,3.40E-02,0.0379731801
284,0.0449554972,3.42E-02,0.0376948275
285,0.0450040511,3.39E-02,0.0376095158
286,0.0440397385,3.36E-02,0.0372337654
287,0.0432024705,3.36E-02,0.0379845893
288,0.0429199199,3.33E-02,0.0378632243
289,0.0486271086,3.76E-02,0.0421097249
290,0.0448913823,3.62E-02,0.0413486788
291,0.0463074432,3.47E-02,0.0411209135
292,0.0450116981,3.39E-02,0.0390969507
293,0.0468785407,3.42E-02,0.0377516757
294,0.0446612792,3.40E-02,0.0378884628
295,0.044569109,3.35E-02,0.0378281857
296,0.0436078242,3.43E-02,0.0381632406
297,0.0438341204,3.26E-02,0.0380734398
298,0.0440922975,3.26E-02,0.0385997824
299,0.0437585689,3.20E-02,0.0384431589
300,0.0429286186,3.37E-02,0.0360634565
