,BAU,CT,R&D
208,1.3155676611,1.2966534508,1.2589162115
209,1.3108055726,1.3013136464,1.2666087102
210,1.3099331467,1.3032494747,1.2788206557
211,1.314219628,1.3001326587,1.2485541786
212,1.3165303037,1.3017033735,1.2579419496
213,1.3109831245,1.3019077738,1.2644605555
214,1.3149385972,1.2995401453,1.2635613951
215,1.308991628,1.3030029092,1.2550374038
216,1.3172843686,1.2945248844,1.2687828727
217,1.2899312139,1.2742998033,1.2318749858
218,1.3092379452,1.3028256316,1.2791788707
219,1.2963359083,1.2879106204,1.2303007462
220,1.3092029045,1.2828178227,1.2507807097
221,1.2883480692,1.2854357959,1.2510160394
222,1.3030667484,1.283973304,1.2554652686
223,1.2927413103,1.2819299998,1.2406474735
224,1.3002221689,1.280708349,1.2571900071
225,1.2912176025,1.2851805478,1.2406669328
226,1.3038111483,1.2817139916,1.2569575625
227,1.3065106422,1.2937429632,1.2370540416
228,1.2914767476,1.2764702741,1.2660837732
229,1.2785361116,1.2605338622,1.2248720286
230,1.2958494972,1.2782997616,1.2556299121
231,1.2741139906,1.2857270431,1.2172914691
232,1.2884379733,1.2633687615,1.2475835083
233,1.2794730648,1.2666533031,1.2326358564
234,1.2882357077,1.2674016614,1.244574699
235,1.2811769079,1.2823369328,1.2235986753
236,1.2860668392,1.2688236857,1.2602610871
237,1.2781899073,1.2692981134,1.2182076563
238,1.2845581747,1.2680031984,1.2541288317
239,1.2760002709,1.2756903978,1.223824811
240,1.2775438189,1.2691145145,1.2551714087
241,1.258964376,1.2453060455,1.1951389371
242,1.2809710565,1.2608275996,1.2572728604
243,1.2544841141,1.2629070052,1.1964501993
244,1.2636720742,1.2374099333,1.2217214312
245,1.2624022071,1.2592346219,1.2142462664
246,1.273375974,1.2399350728,1.235397677
247,1.2556156699,1.2729704114,1.2084331889
248,1.2818168339,1.2361550765,1.2193562501
249,1.2542561105,1.2537855382,1.220663142
250,1.2690557655,1.2408298465,1.2178144683
251,1.2626461532,1.266254492,1.2235564049
252,1.2713376589,1.2368721845,1.2176823229
253,1.2286848745,1.2276037856,1.2102263993
254,1.277760266,1.2417962982,1.2092302342
255,1.2350673676,1.2318073122,1.2055469381
256,1.257262882,1.2330808462,1.2021856949
257,1.2401971305,1.2268103602,1.2110962093
258,1.2531847244,1.2338004611,1.2031704637
259,1.2420628332,1.232740317,1.2060619543
260,1.2496848705,1.2297708143,1.2028212912
261,1.2434092566,1.2241302978,1.2079554682
262,1.2576035814,1.2317703125,1.197899686
263,1.2419297091,1.2243956648,1.2095355901
264,1.2458902532,1.2356346054,1.1975849274
